fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.642,1,0.619,0.08,0.05,TP,0.642,0.03,CAH,2024-12-31,Health Care,conservative,0.08,0.05,91,1.428,0.041,2025-02-14,2025-02-14,126.21,135.86,119.45,TP,41,2025-03-27
2024Q4,0.372,0,0.321,0.13,0.06,SL,0.372,0.012,CAT,2024-12-31,Machinery,conservative,0.13,0.06,91,2.207,0.018,2025-02-14,2025-02-14,353.32,400.52,331.93,SL,18,2025-03-04
2024Q4,0.252,0,0.209,0.08,0.05,SL,0.252,-0.014,CB,2024-12-31,Financials,conservative,0.08,0.05,91,1.759,-0.02,2025-02-14,2025-02-14,264.52,285.53,252.58,TP,17,2025-03-03
2024Q4,0.44,1,0.397,0.07,0.04,TP,0.44,0.01,CBOE,2024-12-31,Financials,conservative,0.07,0.04,91,1.826,0.014,2025-02-14,2025-02-14,202.33,217.07,194.25,TP,24,2025-03-10
2024Q4,0.144,0,0.169,0.13,0.05,SL,0.144,-0.025,CBRE,2024-12-31,Real Estate,conservative,0.13,0.05,91,2.487,-0.041,2025-02-14,2025-02-14,143.73,161.88,136.43,SL,7,2025-02-21
2024Q4,0.705,1,0.729,0.06,0.09,TP,0.705,0.014,CCI,2024-12-31,Real Estate,conservative,0.06,0.09,91,0.636,0.016,2025-02-14,2025-02-14,87.96,93.12,79.84,TP,11,2025-02-25
2024Q4,0.408,1,0.381,0.13,0.08,TP,0.408,0.008,CCL,2024-12-31,"Hotels, Restaurants & Leisure",conservative,0.13,0.08,91,1.724,0.012,2025-02-14,2025-02-14,26.23,29.63,24.26,SL,7,2025-02-21
2024Q4,0.351,0,0.332,0.13,0.05,SL,0.351,0.014,CDNS,2024-12-31,Technology,conservative,0.13,0.05,91,2.676,0.023,2025-02-14,2025-02-14,295.19,332.63,281.2,SL,5,2025-02-19
2024Q4,0.725,1,0.735,0.08,0.08,TP,0.725,0.034,CDW,2024-12-31,Electrical Equipment,conservative,0.08,0.08,91,0.997,0.042,2025-02-14,2025-02-14,189.39,203.77,174.97,SL,17,2025-03-03
2024Q4,0.76,1,0.81,0.06,0.1,TP,0.76,0.023,CE,2024-12-31,Materials,conservative,0.06,0.1,91,0.634,0.027,2025-02-14,2025-02-14,68.06,72.23,61.47,SL,5,2025-02-19
2024Q4,0.187,1,0.237,0.11,0.07,TP,0.187,-0.037,CF,2024-12-31,Materials,conservative,0.11,0.07,91,1.521,-0.051,2025-02-14,2025-02-14,82.48,91.21,76.74,SL,18,2025-03-04
2024Q4,0.399,0,0.43,0.12,0.07,SL,0.399,0.007,CFG,2024-12-31,Banking,conservative,0.12,0.07,91,1.767,0.01,2025-02-14,2025-02-14,46.35,51.92,43.2,SL,20,2025-03-06
2024Q4,0.706,1,0.676,0.04,0.05,TP,0.706,0.015,CHD,2024-12-31,Consumer products,conservative,0.04,0.05,91,0.882,0.019,2025-02-14,2025-02-14,105.0,109.36,100.05,TP,11,2025-02-25
2024Q4,0.618,0,0.602,0.07,0.08,NONE,0.618,0.011,CHRW,2024-12-31,Industrials,conservative,0.07,0.08,91,0.841,0.013,2025-02-14,2025-02-14,99.49,106.26,91.44,SL,49,2025-04-04
2024Q4,0.747,1,0.775,0.05,0.11,TP,0.747,0.009,CHTR,2024-12-31,Communication Services,conservative,0.05,0.11,91,0.453,0.011,2025-02-14,2025-02-14,360.27,378.18,320.78,TP,19,2025-03-05
2024Q4,0.375,1,0.352,0.09,0.08,TP,0.375,-0.014,CI,2024-12-31,Health Care,conservative,0.09,0.08,91,1.179,-0.018,2025-02-14,2025-02-14,292.32,318.34,270.26,TP,21,2025-03-07
