report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,ebitda,roe,roa,net_margin,operating_margin,roi,roic,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,fcf_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-09-30,36550000000.0,16161000000.0,12681000000.0,,15250000000.0,,802000000.0,,1006471000.0,18671000000.0,,1666000000.0,1503000000.0,,614000000.0,1.48,2130000000.0,,813000000.0,,802000000.0,,20.6212,1.4146,1.48,2479000000.0,0.09855737704918033,0.04112175102599179,0.08049916983557388,0.08922928605859354,0.045581395348837206,0.1037876900074757,0.13277274918322532,0.052590163934426226,1.2744263070735746,27605000000.0,3941000000.0,3187000000.0,,,4241000000.0,,4.53,4.53,0.18910634284366895,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2023-12-31,36945000000.0,16301000000.0,12991000000.0,,15368000000.0,,148000000.0,,,-10911000000.0,,-739000000.0,-1121000000.0,,-487000000.0,-2.02,-849000000.0,,-540000000.0,,148000000.0,1.2548,17.6919,1.3484,-2.02,-1279000000.0,-0.07294377928162415,-0.030342400866152388,0.10274035377142333,0.06772981394922556,-0.020002706726214643,-0.04762825470482083,0.11722115296489781,0.009630400832899531,1.2547917789238703,25506000000.0,1943000000.0,2317000000.0,,,3404000000.0,,1.0,1.0,0.043478260869565216,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2024-03-31,37141000000.0,16420000000.0,13179000000.0,,15391000000.0,,147000000.0,,,6418000000.0,,653000000.0,455000000.0,,178000000.0,0.45,784000000.0,,283000000.0,,147000000.0,,18.3067,1.2733,0.45,936000000.0,0.029562731466441425,0.012250612530626532,0.07089435961358678,0.10174509192894983,0.01758164831318489,0.04202600077230017,0.1458398254908071,0.00955103631992723,1.2459215418468776,26208000000.0,1822000000.0,2532000000.0,,,3633000000.0,,0.8799999999999999,0.8799999999999999,0.04046242774566474,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2024-06-30,36656000000.0,15930000000.0,12586000000.0,,15574000000.0,,34000000.0,,992941000.0,13557000000.0,,1486000000.0,1034000000.0,,421000000.0,1.03,1132000000.0,,566000000.0,,34000000.0,,17.4174,1.2834,1.03,2052000000.0,0.06639270579170413,0.028208206023570492,0.07627056133362839,0.10961127093014679,0.04053906591008293,0.09520758585340851,0.1513609205576455,0.0021831257223577758,1.2656920387732402,27735000000.0,1871000000.0,3066000000.0,,,4188000000.0,,0.94,0.94,0.008118433619866285,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2024-09-30,37530000000.0,16568000000.0,12790000000.0,,16189000000.0,,52000000.0,,989085000.0,20465000000.0,,2416000000.0,1800000000.0,,656000000.0,1.8,2142000000.0,,844000000.0,,52000000.0,,15.9609,1.3096,1.8,3260000000.0,0.1111866081907468,0.047961630695443645,0.08795504519912045,0.11805521622281945,0.06437516653343991,0.14875931285019395,0.15929635963840705,0.003212057569954908,1.2953870211102423,29529000000.0,2168000000.0,3816000000.0,,,4969000000.0,,1.26,1.26,0.010464882270074461,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2024-12-31,38363000000.0,17211000000.0,12991000000.0,,16895000000.0,,53000000.0,,,-12611000000.0,,-1474000000.0,-310000000.0,,-998000000.0,-1.2800000000000002,-726000000.0,,-557000000.0,,53000000.0,1.3248,13.6255,1.4586,-1.2800000000000002,-2031000000.0,-0.01834862385321101,-0.00808070276047233,0.024581714376338118,0.1168820870668464,-0.038422438286891014,-0.08697191409015813,0.16104987709142812,0.0031370227878070437,1.324840274035871,27829000000.0,2979000000.0,3081000000.0,,,4217000000.0,,2.0,2.0,0.01256817642874081,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2025-03-31,38110000000.0,16841000000.0,12594000000.0,,17042000000.0,,55000000.0,,990361000.0,6427000000.0,,,402000000.0,,152000000.0,0.4,709000000.0,,285000000.0,,55000000.0,,14.8756,1.5635,0.4,,0.023588780659547,0.010548412490160064,0.06254862299673253,,,,,0.0032273207370026994,1.3372240749563284,27838000000.0,2926000000.0,,,,,,1.9499999999999997,1.9499999999999997,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2025-06-30,38740000000.0,17618000000.0,12515000000.0,,17697000000.0,,66000000.0,,,13337000000.0,,,1103000000.0,,408000000.0,1.11,1219000000.0,,579000000.0,,66000000.0,,12.4624,1.3758,1.11,,0.0623269480702944,0.028471863706763037,0.08270225687935817,,,,,0.0037294456687574167,1.4077506991610067,27618000000.0,2995000000.0,,,,,,2.0299999999999994,2.0299999999999994,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2025-09-30,39233000000.0,17529000000.0,12438000000.0,,18157000000.0,,68000000.0,,,20347000000.0,,,1712000000.0,,612000000.0,1.72,2148000000.0,,861000000.0,,68000000.0,,16.6164,1.7335,1.72,,0.09428870408107067,0.043636734381770445,0.08414016808374698,,,,,0.0037451120779864516,1.409310178485287,27500000000.0,2907000000.0,,,,,,1.9499999999999995,1.9499999999999995,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
2025-12-31,40881000000.0,18828000000.0,13877000000.0,,18834000000.0,,689000000.0,,,-12378000000.0,,,-629000000.0,,-919000000.0,-0.6300000000000003,-266000000.0,,-537000000.0,,689000000.0,1.3568,17.3639,1.6204,-0.6300000000000003,,-0.03339704789211002,-0.0153861206917639,0.05081596380675392,,,,,0.03658277583094404,1.356777401455646,27733000000.0,2588000000.0,,,,,,2.599999999999999,2.599999999999999,,,0.9894873,67.0,33.6,11.65585,56803.836,21.9489,2.386,2.0482
