report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,shares_outstanding,revenue,net_income,interest_expense,income_tax,eps_diluted,operating_cash_flow,depreciation,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2017-09-30,15875000000.0,7374000000.0,4041000000.0,10057000000.0,5818000000.0,,364000000.0,1294000000.0,263410000.0,10181000000.0,413000000.0,129000000.0,127000000.0,1.0,361000000.0,332000000.0,364000000.0,,23.0389,1.0314,1.0,0.0709865933310416,0.026015748031496064,0.04056575974855122,0.0625644551392231,1.8247958426132145,13883000000.0,505000000.0,168000000.0,1.0,1.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2017-12-30,15340000000.0,7027000000.0,3660000000.0,9693000000.0,5647000000.0,,14000000.0,1262000000.0,,-5773000000.0,-461000000.0,-82000000.0,225000000.0,0.0,520000000.0,-209000000.0,14000000.0,1.9699,49.1661,1.0631,0.0,-0.08163626704444837,-0.030052151238591916,0.07985449506322535,0.0024791924915884543,1.9199453551912569,14198000000.0,307000000.0,174000000.0,1.0,1.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2018-03-31,14968000000.0,6821000000.0,3349000000.0,9276000000.0,5692000000.0,,16000000.0,836000000.0,256375000.0,3296000000.0,189000000.0,41000000.0,29000000.0,0.0,-85000000.0,105000000.0,16000000.0,,38.2056,1.0479,0.0,0.033204497540407586,0.012626937466595404,0.05734223300970874,0.0028109627547434997,2.0367273813078532,14401000000.0,395000000.0,173000000.0,1.0,1.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2018-06-30,14558000000.0,6770000000.0,3397000000.0,9196000000.0,5362000000.0,,9000000.0,731000000.0,248910000.0,7022000000.0,413000000.0,83000000.0,65000000.0,1.0,397000000.0,216000000.0,9000000.0,,36.3399,1.166,1.0,0.07702349869451697,0.028369281494710814,0.05881515237823982,0.0016784781797836627,1.9929349425964087,14726000000.0,554000000.0,171000000.0,2.0,2.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2018-09-29,14669000000.0,6912000000.0,3423000000.0,9126000000.0,5543000000.0,,9000000.0,1293000000.0,242892000.0,10222000000.0,976000000.0,124000000.0,130000000.0,3.0,696000000.0,322000000.0,9000000.0,,20.4924,1.2521,3.0,0.1760779361356666,0.06653486945258709,0.09548033652905498,0.0016236694930543028,2.0192813321647676,14767000000.0,1117000000.0,166000000.0,4.0,4.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2018-12-29,14264000000.0,6614000000.0,3506000000.0,9072000000.0,5192000000.0,,258000000.0,1107000000.0,,-6568000000.0,-356000000.0,-82000000.0,-62000000.0,0.0,99000000.0,-206000000.0,258000000.0,1.9207,9.1439,0.7997,0.0,-0.06856702619414484,-0.02495793606281548,0.05420219244823386,0.04969183359013867,1.8864803194523674,13972000000.0,1222000000.0,166000000.0,4.0,4.0,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2019-03-30,14480000000.0,,,9247000000.0,5233000000.0,,,,232699000.0,3109000000.0,179000000.0,42000000.0,33000000.0,0.76,-216000000.0,102000000.0,0.0,,9.9521,0.875,0.76,0.03420600038218995,0.012361878453038674,0.05757478288838855,0.0,,13785000000.0,1212000000.0,167000000.0,4.76,4.76,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2019-06-29,14796000000.0,6914000000.0,3579000000.0,9460000000.0,5336000000.0,,457000000.0,857000000.0,230058000.0,6336000000.0,396000000.0,85000000.0,95000000.0,1.0,-61000000.0,202000000.0,457000000.0,,10.2628,0.9308,1.0,0.07421289355322339,0.0267639902676399,0.0625,0.08564467766116941,1.9318245319921765,13099000000.0,1195000000.0,169000000.0,4.76,4.76,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2019-09-28,15062000000.0,7241000000.0,3766000000.0,9610000000.0,5452000000.0,,568000000.0,1053000000.0,228235000.0,9595000000.0,616000000.0,129000000.0,116000000.0,2.0,223000000.0,302000000.0,568000000.0,,13.0706,0.8443,2.0,0.11298606016140866,0.04089762315761519,0.0642001042209484,0.10418195157740279,1.922729686670207,12472000000.0,835000000.0,174000000.0,3.76,3.76,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
2020-01-04,15018000000.0,7065000000.0,3846000000.0,9500000000.0,5518000000.0,,,1357000000.0,,-5410000000.0,-376000000.0,-85000000.0,-117000000.0,,1068000000.0,-190000000.0,0.0,1.8827,12.5418,0.7499,,-0.0681406306632838,-0.025036622719403382,0.06950092421441774,0.0,1.8369734789391576,13630000000.0,815000000.0,171000000.0,,,0.93781054,101.57,57.7,1.59756,15329.417,16.6443,1.9916,1.0358
