report_date,total_assets,total_liabilities,total_equity,long_term_debt,revenue,net_income,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,eps,roe,roa,net_margin,fcf_margin,debt_equity,revenue_ttm,net_income_ttm,fcf_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2020-12-31,64098300000.0,47059700000.0,17038600000.0,,-18202700000.0,-1497900000.0,-407700000.0,-1.5099999999999998,-1174100000.0,-3957100000.0,-126000000.0,-4083100000.0,0.0,,10.1504,1.358,-1.5099999999999998,-0.08791215240688789,-0.023368794492209622,0.08228998994654639,0.22431287666115465,0.0,42658100000.0,5704600000.0,6430100000.0,9.66,9.66,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2021-03-31,65413300000.0,47576800000.0,17836500000.0,,11445200000.0,1480000000.0,387900000.0,2.51,586900000.0,2614500000.0,50500000.0,2564000000.0,0.0,,8.6264,1.2499,2.51,0.08297592016370925,0.02262536823551174,0.12931185125642192,0.2240240450145039,0.0,44779900000.0,6491900000.0,7430700000.0,11.0,11.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2021-06-30,69824300000.0,51148700000.0,18675600000.0,,23350700000.0,2270100000.0,597000000.0,3.85,586800000.0,4938400000.0,98500000.0,4839900000.0,0.0,,10.4771,1.2578,3.85,0.12155432757180493,0.03251160412635715,0.0972176422976613,0.2072700176011854,0.0,47835500000.0,6272500000.0,8502700000.0,10.85,10.85,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2021-09-30,72618100000.0,54060000000.0,18558100000.0,,35209900000.0,2388600000.0,617500000.0,4.03,587300000.0,7309600000.0,188300000.0,7121300000.0,0.0,,12.9843,1.1348,4.03,0.12870929674912843,0.03289262594311886,0.06783887486189964,0.20225277549780032,0.0,51803100000.0,4640800000.0,10442100000.0,8.88,8.88,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2021-12-31,71132300000.0,52900700000.0,18231600000.0,,-22303800000.0,-2787800000.0,-743300000.0,-4.73,-1173900000.0,-7100800000.0,-93800000.0,-7194600000.0,0.0,,17.9226,1.2597,-4.73,-0.15291033151231928,-0.03919175958038753,0.12499215380338777,0.32257283512226614,0.0,47702000000.0,3350900000.0,7330600000.0,5.66,5.66,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2022-03-31,73929600000.0,56878400000.0,17051200000.0,,11841500000.0,313900000.0,76300000.0,0.52,586300000.0,2502300000.0,73000000.0,2429300000.0,0.0,,30.5155,1.3869,0.52,0.018409261518250914,0.004245931264337964,0.026508465988261624,0.20515137440358064,0.0,48098300000.0,2184800000.0,7195900000.0,3.6700000000000004,3.6700000000000004,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2022-06-30,73057200000.0,57404500000.0,15652700000.0,,23360700000.0,-229000000.0,-16700000.0,-0.41,586400000.0,3891900000.0,136700000.0,3755200000.0,0.0,,79.8404,1.4261,-0.41,-0.014630063822854844,-0.0031345302037307753,-0.009802788443839439,0.16074860770439242,0.0,48108300000.0,-314300000.0,6111200000.0,-0.5899999999999996,-0.5899999999999996,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2022-09-30,75524200000.0,60748000000.0,14776200000.0,,36140900000.0,-104900000.0,1700000.0,0.0,587100000.0,5919200000.0,245000000.0,5674200000.0,0.0,,79.3031,1.3988,0.0,-0.007099254206088168,-0.0013889587708310713,-0.002902528714005462,0.15700217758827256,0.0,49039300000.0,-2807800000.0,4664100000.0,-4.62,-4.62,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2022-12-31,75465000000.0,59574000000.0,15891000000.0,,-21732400000.0,741500000.0,139300000.0,0.8899999999999999,-1172700000.0,-5464600000.0,-162700000.0,-5627300000.0,0.0,,105.1828,1.5304,0.8899999999999999,0.046661632370524196,0.00982574703504936,-0.03411956341683385,0.2589359665752517,0.0,49610700000.0,721500000.0,6231400000.0,1.0000000000000002,1.0000000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2023-03-31,80407100000.0,63538700000.0,16868400000.0,,14303200000.0,447900000.0,106500000.0,0.0,587000000.0,2449500000.0,43200000.0,2406300000.0,0.0,,97.8872,1.6089,0.0,0.026552607241943516,0.005570403608636551,0.031314670842888304,0.1682350802617596,0.0,52072400000.0,855500000.0,6208400000.0,0.4800000000000002,0.4800000000000002,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2023-06-30,82945200000.0,66233900000.0,16711300000.0,,29656700000.0,793300000.0,196800000.0,1.0,587000000.0,4786500000.0,133600000.0,4652900000.0,0.0,,44.4321,1.3865,1.0,0.04747087300210037,0.009564145966252418,0.026749436046492023,0.15689203451496628,0.0,58368400000.0,1877800000.0,7106100000.0,1.8900000000000001,1.8900000000000001,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2023-09-30,85652600000.0,68257300000.0,17395300000.0,,45217300000.0,1914600000.0,485700000.0,3.0,587500000.0,8206000000.0,169900000.0,8036100000.0,0.0,,29.6618,1.386,3.0,0.11006421274712135,0.02235308677144652,0.04234220088329024,0.1777218011690216,0.0,67444800000.0,3897300000.0,9468000000.0,4.890000000000001,4.890000000000001,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2023-12-31,88690800000.0,68413700000.0,20277100000.0,,-27068700000.0,746600000.0,212300000.0,2.0,-1174000000.0,-4798700000.0,-94700000.0,-4893400000.0,0.0,,23.879,1.501,2.0,0.03681986082822494,0.008418009534247069,-0.0275816718202204,0.1807770598514151,0.0,62108500000.0,3902400000.0,10201900000.0,6.0,6.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2024-03-31,94127900000.0,72316600000.0,21811300000.0,,17242500000.0,2331400000.0,608500000.0,3.0,587300000.0,4235400000.0,50200000.0,4185200000.0,0.0,,21.253,1.8912,3.0,0.1068895480782897,0.02476842678950662,0.13521241119327243,0.2427258228215166,0.0,65047800000.0,5785900000.0,11980800000.0,9.0,9.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2024-06-30,97893000000.0,74552600000.0,23340400000.0,,35376800000.0,3790100000.0,1010200000.0,6.0,587400000.0,7501200000.0,118100000.0,7383100000.0,0.0,,17.7809,1.8093,6.0,0.16238367808606535,0.038716762179113934,0.10713518464078153,0.20869892132697135,0.0,70767900000.0,8782700000.0,14711000000.0,14.0,14.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2024-09-30,105202500000.0,78043200000.0,27159300000.0,,55095800000.0,6123500000.0,1621600000.0,10.0,587700000.0,12111700000.0,174800000.0,11936900000.0,0.0,,18.3266,2.0658,10.0,0.22546604662123104,0.0582067916636962,0.11114277313334228,0.21665716805999732,0.0,80646400000.0,12991600000.0,18611800000.0,21.0,21.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2024-12-31,105745000000.0,80154000000.0,25591000000.0,,-32343100000.0,-3765000000.0,-1007300000.0,-5.0,-1174700000.0,-8729300000.0,-58100000.0,-8787400000.0,0.0,,16.5526,1.863,-5.0,-0.14712203509046148,-0.035604520308288805,0.11640813651134245,0.2716931895829404,0.0,75372000000.0,8480000000.0,14717800000.0,14.0,14.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2025-03-31,111409000000.0,82455000000.0,28954000000.0,,20409000000.0,2567000000.0,669000000.0,4.0,587700000.0,5143000000.0,59000000.0,5084000000.0,0.0,,19.0361,2.1133,4.0,0.0886578711058921,0.023041226471829025,0.12577784310843254,0.24910578666274683,0.0,78538500000.0,8715600000.0,15616600000.0,15.0,15.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2025-06-30,115480000000.0,82876000000.0,32604000000.0,,42413000000.0,5742000000.0,1476000000.0,9.0,587700000.0,9183000000.0,161000000.0,9022000000.0,0.0,,14.9959,1.899,9.0,0.17611336032388664,0.049722895739521995,0.13538301935727254,0.21271779878810743,0.0,85574700000.0,10667500000.0,17255500000.0,18.0,18.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2025-09-30,121535000000.0,86090000000.0,35445000000.0,,64925000000.0,8357000000.0,2184000000.0,14.0,588100000.0,14378000000.0,227000000.0,14151000000.0,0.0,,13.5167,1.7003,14.0,0.23577373395401327,0.06876208499609165,0.12871775125144397,0.2179591836734694,0.0,95403900000.0,12901000000.0,19469600000.0,22.0,22.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
2025-12-31,123039000000.0,92716000000.0,30323000000.0,,-40076000000.0,-5358000000.0,-1414000000.0,-8.0,-1175400000.0,-11156000000.0,-99000000.0,-11255000000.0,0.0,,11.8088,1.5237,-8.0,-0.17669755631039144,-0.043547167971131104,0.13369597764247929,0.28084140133745883,0.0,87671000000.0,11308000000.0,17002000000.0,19.0,19.0,0.31485963,291.635,197.92,2.93563,117866.78,10.4233,4.4037,1.3449
