report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,revenue,net_income,income_tax,eps_diluted,operating_cash_flow,total_debt,bf_pe,bf_ps,eps,roe,roa,net_margin,debt_equity,revenue_ttm,net_income_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2022-06-30,335769000000.0,326581000000.0,9188000000.0,,,,9791000000.0,341000000.0,20000000.0,1.91,2708000000.0,0.0,2.4063,0.3714,1.91,0.03711362646930779,0.0010155791630555532,0.034827903176386475,0.0,19788000000.0,758000000.0,4.250000000000002,4.250000000000002,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2022-09-30,324683000000.0,322466000000.0,2217000000.0,,500000000.0,,14589000000.0,-2233000000.0,-543000000.0,-13.0,3394000000.0,500000000.0,5.9893,0.3416,-13.0,-1.0072169598556608,-0.006877477416433875,-0.1530605250531222,0.2255299954894001,19750000000.0,-2660000000.0,-14.939999999999998,-14.939999999999998,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2022-12-31,335437000000.0,331336000000.0,4101000000.0,,500000000.0,,-10283000000.0,-439000000.0,-49000000.0,-2.49,-2822000000.0,500000000.0,9.6623,0.2496,-2.49,-0.10704706169227018,-0.0013087405384617679,0.0426918214528834,0.12192148256522799,18784000000.0,-2227000000.0,-12.999999999999998,-12.999999999999998,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2023-03-31,343142000000.0,336410000000.0,6732000000.0,,500000000.0,,3814000000.0,-881000000.0,-289000000.0,-5.0,-774000000.0,500000000.0,,0.2123,-5.0,-0.13086749851455734,-0.0025674502101170945,-0.23099108547456737,0.07427213309566251,17911000000.0,-3212000000.0,-18.58,-18.58,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2023-06-30,348612000000.0,342793000000.0,5819000000.0,,500000000.0,,6743000000.0,-370000000.0,-198000000.0,-2.0,-252000000.0,500000000.0,,0.2455,-2.0,-0.06358480838632068,-0.0010613518754374492,-0.05487171881951654,0.08592541673827118,14863000000.0,-3923000000.0,-22.49,-22.49,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2023-09-30,338411000000.0,335212000000.0,3199000000.0,,,,10946000000.0,483000000.0,-17000000.0,2.0,-206000000.0,0.0,8.6462,0.2287,2.0,0.15098468271334792,0.0014272585702001413,0.044125708021194955,0.0,11220000000.0,-1207000000.0,-7.489999999999998,-7.489999999999998,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2023-12-31,372413000000.0,365520000000.0,6893000000.0,,250000000.0,,-9858000000.0,16000000.0,108000000.0,1.0,-842000000.0,250000000.0,,0.329,1.0,0.0023211954156390543,4.296305445835672e-05,-0.0016230472712517752,0.03626867836936022,11645000000.0,-752000000.0,-3.9999999999999982,-3.9999999999999982,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2024-03-31,383381000000.0,375835000000.0,7546000000.0,5726000000.0,503000000.0,,4116000000.0,1222000000.0,306000000.0,6.93,-1343000000.0,6229000000.0,3.9767,0.321,6.93,0.1619401007156109,0.0031874297369979213,0.29689018464528666,0.8254704479194275,11947000000.0,1351000000.0,7.9300000000000015,7.9300000000000015,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2024-06-30,384533000000.0,376584000000.0,7949000000.0,5716000000.0,450000000.0,,9269000000.0,2116000000.0,509000000.0,12.03,-2202000000.0,6166000000.0,3.0693,0.3229,12.03,0.2661970059126934,0.005502778695196511,0.228287841191067,0.7756950559818845,14473000000.0,3837000000.0,21.96,21.96,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2024-09-30,396840000000.0,387827000000.0,9013000000.0,5897000000.0,300000000.0,,13380000000.0,1588000000.0,334000000.0,8.75,-2229000000.0,6197000000.0,15.1495,0.3746,8.75,0.17618994785310108,0.0040016127406511445,0.11868460388639761,0.6875624098524353,16907000000.0,4942000000.0,28.71,28.71,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2024-12-31,390831000000.0,382562000000.0,8269000000.0,,300000000.0,,-8323000000.0,-1651000000.0,-402000000.0,-9.3,3767000000.0,300000000.0,1.6488,0.263,-9.3,-0.19966138589914137,-0.004224332256141401,0.19836597380752133,0.036280082234853066,18442000000.0,3275000000.0,18.41,18.41,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2025-03-31,382898000000.0,374705000000.0,8193000000.0,5868000000.0,0.0,,4691000000.0,-722000000.0,-227000000.0,-4.41,-272000000.0,5868000000.0,4.6018,0.3422,-4.41,-0.08812400829976809,-0.0018856196689457766,-0.15391174589639736,0.7162211644086415,19017000000.0,1331000000.0,7.07,7.07,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2025-06-30,399065000000.0,389517000000.0,9548000000.0,5767000000.0,0.0,,8735000000.0,-23000000.0,-78000000.0,-0.39,741000000.0,5767000000.0,5.2002,0.3247,-0.39,-0.002408881441139506,-5.763472116071317e-05,-0.002633085289066972,0.6040008378718056,18483000000.0,-808000000.0,-5.349999999999999,-5.349999999999999,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2025-09-30,415275000000.0,404823000000.0,10452000000.0,5772000000.0,0.0,,13290000000.0,423000000.0,0.0,1.87,-400000000.0,5772000000.0,3.6253,0.3894,1.87,0.0404707233065442,0.001018602131117934,0.03182844243792325,0.5522388059701493,18393000000.0,-1973000000.0,-12.229999999999999,-12.229999999999999,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
2025-12-31,417204000000.0,406298000000.0,10906000000.0,,400000000.0,,-8504000000.0,1499000000.0,466000000.0,8.76,-236000000.0,400000000.0,7.1922,0.4548,8.76,0.13744727672840637,0.0035929665103882034,-0.17626999059266227,0.03667705849990831,18212000000.0,1177000000.0,5.830000000000002,5.830000000000002,1.248187,46.82,27.58,2.69932,6630.3394,5.638,0.7755,0.3565
