report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,cash,revenue,gross_profit,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_ps,eps,ebitda,roe,roa,net_margin,gross_margin,operating_margin,roi,roic,fcf_margin,ebitda_margin,debt_equity,current_ratio,revenue_ttm,net_income_ttm,operating_income_ttm,gross_profit_ttm,ebitda_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,debt_to_ebitda,interest_coverage,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_ps_ttm
2020-09-30,18500.0,18500.0,26686955.0,27029309.0,-27010809.0,,,,,-1233991.0,,984631.0,0.0,,,-549337.0,,,,0.0,,,,-1233991.0,,,,,,-66.70221621621621,0.04568508110956617,,,-0.0,0.0006932225875900791,,,-1566089.0,,-1566089.0,2878616.0,,,-0.0,-0.5440423453492929,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2020-12-31,17442.0,17442.0,28045262.0,28430611.0,-28413169.0,,,,,-258951.0,-6450457.0,-523599.0,0.0,-0.030000000000000002,,338190.0,,,,0.0,0.0006,,-0.030000000000000002,-258951.0,0.22702349744936934,-369.82324274739136,,,,-14.84640522875817,0.009113766929693764,,,-0.0,0.0006219232325231977,,,-2783950.0,,-2783950.0,1428710.0,,,-0.0,-1.9485759881291516,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2021-03-31,87223.0,87223.0,29323763.0,29501609.0,-29414386.0,,,,,-603967.0,,470766.0,0.0,-0.01,,-116364.0,,,,0.0,0.0006,,-0.01,-603967.0,,,,,,-6.924400674134116,0.020533048012628924,,,-0.0,0.002974481822131764,,,-2972444.0,,-2972444.0,1578658.0,,,-0.0,-1.882892938179137,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2021-06-30,8110.0,8110.0,28438946.0,28628280.0,-28620170.0,,,,,-1077145.0,-992882.0,879655.0,0.0,-0.01,,-245477.0,,,,0.0,,,-0.01,-1077145.0,0.034691687715342014,-122.4268803945746,,,,-132.81689272503084,0.03763587008742436,,,-0.0,0.00028517231264477946,,,-3174054.0,,-3174054.0,1811453.0,,,-0.0,-1.7522143825978371,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2021-09-30,128355.0,128355.0,29149371.0,29340737.0,-29212382.0,,,,,-1437724.0,-1805094.0,1293740.0,0.0,,,-420232.0,,,,0.0,,,,-1437724.0,0.06179208528767014,-14.063293210237232,,,,-11.201153052082116,0.049216253573570276,,,-0.0,0.0044033540209152365,,,-3377787.0,,-3377787.0,2120562.0,,,-0.0,-1.5928734929702597,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2021-12-31,5957.0,5957.0,29807088.0,30033881.0,-30027924.0,,,,,1136955.0,127339.0,-898967.0,0.0,,,239443.0,,,,0.0,0.0002,,,1136955.0,-0.004240686102708932,21.37636394158133,,,,190.8603323820715,-0.03786325688049563,,,-0.0,0.00019985179364049248,,,-1981881.0,,-1981881.0,1745194.0,,,-0.0,-1.1356221715178942,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2022-03-31,36450.0,36450.0,32108806.0,32368393.0,-32331943.0,,,,,-386580.0,-2650019.0,434253.0,,,,-209507.0,,,,0.0,0.0002,,,-386580.0,0.08196287491908544,-72.70285322359396,,,,-10.605761316872428,0.011956596607880943,,,-0.0,0.001135202598315241,,-5320656.0,-1764494.0,,-1764494.0,1708681.0,,,-0.0,-1.032664376791221,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2022-06-30,5856.0,5856.0,32645159.0,32937905.0,-32932049.0,,,,,-776343.0,-3570125.0,882322.0,0.0,-0.02,175392568.0,-270101.0,,,,0.0,,,-0.02,-776343.0,0.10840883298819336,-609.6524931693989,,,,-132.57223360655738,0.023574087357880465,,,-0.0,0.000179383411794686,,-7897899.0,-1463692.0,,-1463692.0,1711348.0,,,-0.0,-0.8552860084564916,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2022-09-30,12314.0,12314.0,35148308.0,35309974.0,-35297660.0,,,,,-1166533.0,-6010736.0,1344836.0,0.0,,,-301643.0,,,,0.0,,,,-1166533.0,0.17028709551851312,-488.12213740458014,,,,-94.73225596881598,0.03304845137043079,,,-0.0,0.00035034403363029597,,-12103541.0,-1192501.0,,-1192501.0,1762444.0,,,-0.0,-0.6766178102680142,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2022-12-31,6404.0,6404.0,36205430.0,36205430.0,-36199026.0,,,,,810849.0,5318778.0,-845611.0,0.0,,,454038.0,,,,0.0,0.0002,,,810849.0,-0.14693152241168037,830.5399750156153,,,,126.61602123672705,-0.022399746335716324,,,-0.0,0.00017687954541625387,,-6912102.0,-1518607.0,,-1518607.0,1815800.0,,,-0.0,-0.8363294415684547,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2023-03-31,6323.0,6323.0,35748265.0,35748265.0,-35741942.0,,,,,-363825.0,-632916.0,514707.0,0.0,,,-94599.0,,,,0.0,0.0002,,,-363825.0,0.01770793539981683,-100.09742210975803,,,,-57.539933575834254,0.01017921745830151,,,-0.0,0.00017687571690542183,,-4894999.0,-1495852.0,,-1495852.0,1896254.0,,,-0.0,-0.788845798084012,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2023-06-30,60097.0,60097.0,38067840.0,38067840.0,-38007743.0,,,,,-726427.0,-3220717.0,1051123.0,0.0,,,-297955.0,,,,0.0,,,,-726427.0,0.08473844395338076,-53.59197630497363,,,,-12.087575086942776,0.01911260555513649,,,-0.0,0.0015786816378339302,,-4545591.0,-1445936.0,,-1445936.0,2065055.0,,,-0.0,-0.7001924888199104,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2023-09-30,70187.0,70187.0,373551245.0,373551245.0,-373000000.0,,,,,-1127975.0,-339000000.0,1609876.0,0.0,,,-546995.0,,,,0.0,,,,-1127975.0,0.9088471849865952,-4829.954265034836,,,,-16.0709960534002,0.0030240616621983914,,,-0.0,0.00018789122226054954,,-337534855.0,-1407378.0,,-1407378.0,2330095.0,,,-0.0,-0.6040002660835717,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2023-12-31,120149.0,120149.0,43621852.0,43621852.0,-43501703.0,,,,,739672.0,333702956.0,-989149.0,0.0,,,270086.0,,,,0.0,0.0028,,,739672.0,-7.67103200534471,2777.4093500570125,,,,6.156289274151262,-0.01700328835402145,,,-0.0,0.0027543305589134547,,-9150677.0,-1478555.0,,-1478555.0,2186557.0,,,-0.0,-0.6762023583194949,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
2025-12-31,1484775.0,1484775.0,114815342.0,114885902.0,-113401127.0,,,3013875.0,588932.0,-172103.0,-69296723.0,2872050.0,0.0,0.0,201998151.0,-93395.0,,,,0.0,0.0129,1.0902,0.0,-172103.0,0.6110761403632259,-46.671531376807934,-22.99256704408776,0.19540690970926133,-0.05710356268922898,-0.11591183849404792,0.0015176480565312195,,-0.05710356268922898,-0.0,0.012931851912264477,,-77814484.0,-1286833.0,,-1286833.0,4543900.0,,,-0.0,-0.2832001144391382,-15.892775,0.022,0.0001,0.05266,1.2350792,0.4348
