report_date,total_assets,current_assets,current_liabilities,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_cash_flow,capex,depreciation,fcf,total_debt,bf_current_ratio,bf_pe,bf_ps,debt_equity,current_ratio,fcf_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-09-30,14594000000.0,3567000000.0,2615000000.0,9170000000.0,5352000000.0,4580000000.0,640000000.0,,922000000.0,649000000.0,380000000.0,273000000.0,5220000000.0,,15.2978,0.9545,0.9753363228699552,1.3640535372848948,400000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2023-12-31,14633000000.0,3481000000.0,2576000000.0,9103000000.0,5458000000.0,4305000000.0,541000000.0,548000000.0,1374000000.0,828000000.0,498000000.0,546000000.0,4846000000.0,1.3513,11.9121,1.1563,0.8878710150238183,1.3513198757763976,836000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2024-03-31,14748000000.0,3638000000.0,2618000000.0,9140000000.0,5538000000.0,4340000000.0,740000000.0,,-16000000.0,185000000.0,127000000.0,-201000000.0,5080000000.0,,12.757,1.2956,0.917298663777537,1.3896103896103895,613000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2024-06-30,14945000000.0,3842000000.0,2741000000.0,9246000000.0,5627000000.0,4336000000.0,697000000.0,,351000000.0,300000000.0,253000000.0,51000000.0,5033000000.0,,12.5995,1.2163,0.8944375333214857,1.401678219627873,669000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2024-09-30,15060000000.0,3937000000.0,2590000000.0,9332000000.0,5654000000.0,4606000000.0,448000000.0,,747000000.0,420000000.0,380000000.0,327000000.0,5054000000.0,,14.6626,1.3887,0.8938804386275203,1.5200772200772201,723000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2024-12-31,15213000000.0,4101000000.0,2708000000.0,9361000000.0,5779000000.0,4567000000.0,450000000.0,837000000.0,205000000.0,-306000000.0,-251000000.0,-101000000.0,5017000000.0,1.5144,11.6963,1.1282,0.8681432773836304,1.5144017725258494,76000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2025-03-31,14971000000.0,3901000000.0,2269000000.0,9027000000.0,5871000000.0,4736000000.0,285000000.0,,-167000000.0,147000000.0,126000000.0,-314000000.0,5021000000.0,,11.0338,1.0866,0.8552205757111224,1.7192595857205817,-37000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2025-06-30,15219000000.0,4021000000.0,2387000000.0,9313000000.0,5835000000.0,4782000000.0,344000000.0,,66000000.0,297000000.0,253000000.0,-231000000.0,5126000000.0,,10.3046,0.9233,0.8784918594687232,1.6845412651864264,-319000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2025-09-30,14979000000.0,3787000000.0,2156000000.0,9136000000.0,5771000000.0,4785000000.0,290000000.0,,468000000.0,434000000.0,382000000.0,34000000.0,5075000000.0,,10.2891,0.797,0.8793969849246231,1.7564935064935066,-612000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
2025-12-31,14859000000.0,3645000000.0,2652000000.0,8822000000.0,5961000000.0,4201000000.0,586000000.0,566000000.0,603000000.0,-332000000.0,-248000000.0,271000000.0,4787000000.0,1.3744,15.3609,0.8319,0.8030531789968126,1.3744343891402715,-240000000.0,1.19441,88.73,56.11,1.85796,8565.262,18.0702,1.2215,0.9787
