report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2018-12-31,26638173000.0,23665517000.0,2972656000.0,4284304000.0,,2559106000.0,,-208313000.0,-175249000.0,-77619000.0,0.25,-877992000.0,83311000.0,4284304000.0,7.4264,0.25,,-0.07007638959906562,-0.007820093367514356,,,1.4412377348741328,471836000.0,522288000.0,0.9999999999999998,0.9999999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2019-03-31,27613625000.0,24566091000.0,3047534000.0,4476406000.0,,2156257000.0,,153721000.0,164172000.0,56296000.0,0.0,438248000.0,16715000.0,4476406000.0,8.4004,0.0,,0.05044111074724679,0.005566853319692724,,,1.4688617091720715,502700000.0,581843000.0,0.9999999999999998,0.9999999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2019-06-30,29585226000.0,26487910000.0,3097316000.0,4862763000.0,,3998514000.0,,299667000.0,341026000.0,90097000.0,0.69,435233000.0,-63044000.0,4862763000.0,7.3601,0.69,,0.09675054143652116,0.010128940708446844,,,1.5699925354726478,573598000.0,696891000.0,1.6899999999999997,1.6899999999999997,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2019-09-30,31160215000.0,27977083000.0,3183132000.0,4601888000.0,297800000.0,3851608000.0,,423972000.0,526352000.0,130798000.0,0.98,432572000.0,-77401000.0,4899688000.0,6.3741,0.98,,0.13319334542205602,0.01360619623452534,,,1.5392663577884926,669047000.0,856301000.0,1.9199999999999997,1.9199999999999997,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2019-12-31,32686479000.0,29374643000.0,3311836000.0,4354037000.0,,5563877000.0,,-315921000.0,-323833000.0,-111727000.0,-0.3699999999999999,-875379000.0,108089000.0,4354037000.0,6.5033,-0.3699999999999999,,-0.09539149885441188,-0.009665189083229185,,,1.3146897974416607,561439000.0,707717000.0,1.2999999999999998,1.2999999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2020-03-31,31760895000.0,29640312000.0,2120583000.0,4708036000.0,0.0,7292929000.0,,358709000.0,174817000.0,121481000.0,0.87,412755000.0,144414000.0,4708036000.0,3.4469,0.87,,0.16915584063439157,0.011294045712502749,,,2.220161153795914,766427000.0,718362000.0,2.17,2.17,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2020-06-30,30412110000.0,28395191000.0,2016919000.0,4449767000.0,0.0,4988961000.0,,271020000.0,310837000.0,90817000.0,0.69,395191000.0,-62145000.0,4449767000.0,4.8234,0.69,,0.13437326932811877,0.008911581603512549,,,2.2062199820617487,737780000.0,688173000.0,2.17,2.17,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2020-09-30,30642421000.0,28441975000.0,2200446000.0,4947647000.0,0.0,4351045000.0,,439990000.0,428649000.0,146006000.0,1.13,389391000.0,-209151000.0,4947647000.0,5.1504,1.13,,0.19995491823021333,0.014358852389633312,,,2.2484746274164418,753798000.0,590470000.0,2.32,2.32,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2020-12-31,30770423000.0,28207588000.0,2562835000.0,5189217000.0,,4455292000.0,,-198763000.0,-372636000.0,-84988000.0,-0.43999999999999995,-810142000.0,-55787000.0,5189217000.0,5.279,-0.43999999999999995,,-0.07755590976399183,-0.006459547208694531,,,2.024795587698779,870956000.0,541667000.0,2.2499999999999996,2.2499999999999996,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2021-03-31,30628005000.0,28019541000.0,2608464000.0,4918670000.0,,6207001000.0,,640006000.0,105044000.0,203525000.0,1.75,366240000.0,45752000.0,4918670000.0,5.0879,1.75,,0.24535742107232456,0.020896104725071057,,,1.8856576130627067,1152253000.0,471894000.0,3.13,3.13,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2021-06-30,28925175000.0,26621797000.0,2303378000.0,4989060000.0,199379000.0,4497310000.0,,779015000.0,200950000.0,256699000.0,2.28,341544000.0,-179933000.0,5188439000.0,4.6232,2.28,,0.33820545303463,0.026932075605419846,,,2.252534755476522,1660248000.0,362007000.0,4.72,4.72,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2021-09-30,28791139000.0,26659878000.0,2131261000.0,5219748000.0,199583000.0,2717752000.0,,850689000.0,290987000.0,276091000.0,2.59,329064000.0,-95124000.0,5419331000.0,4.0096,2.59,,0.39914820380985716,0.02954690330243621,,,2.5427814800721262,2070947000.0,224345000.0,6.18,6.18,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2021-12-31,29221899000.0,27072188000.0,2149711000.0,5930990000.0,,4334603000.0,,-1113933000.0,-214903000.0,-356564000.0,-3.0099999999999993,-716936000.0,179783000.0,5930990000.0,4.9692,-3.0099999999999993,,-0.5181780248600858,-0.0381198018650328,,,2.758970857012873,1155777000.0,382078000.0,3.61,3.61,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2022-03-31,29051829000.0,27007622000.0,2044207000.0,5552497000.0,,3262595000.0,166168000.0,,90006000.0,37356000.0,0.45,280654000.0,62788000.0,5552497000.0,7.6795,0.45,166168000.0,,,0.005719708731591391,0.021873696803245198,2.7162107359968926,,367040000.0,2.3100000000000005,2.3100000000000005,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2022-06-30,27498773000.0,25521963000.0,1976810000.0,5219310000.0,,3649651000.0,,467853000.0,190229000.0,151652000.0,1.72,272343000.0,2499000.0,5219310000.0,4.7142,1.72,,0.23667069672856775,0.01701359547933284,,,2.6402689181054324,,356319000.0,1.7500000000000004,1.7500000000000004,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2022-09-30,29139088000.0,27156860000.0,1982228000.0,5522311000.0,,4846754000.0,,540494000.0,340630000.0,181203000.0,2.03,266065000.0,5867000.0,5522311000.0,4.1064,2.03,,0.2726699451324469,0.01854876171828027,,,2.785911106088704,,405962000.0,1.1900000000000004,1.1900000000000004,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2022-12-31,28811029000.0,27084059000.0,1726970000.0,5235114000.0,,4616117000.0,,-548362000.0,-78066000.0,-208500000.0,-2.4399999999999995,-557559000.0,-66162000.0,5235114000.0,8.8537,-2.4399999999999995,,-0.3175283878700846,-0.01903305848604019,,,3.031386764101287,,542799000.0,1.7599999999999998,1.7599999999999998,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2023-03-31,29453901000.0,27626806000.0,1827095000.0,5513976000.0,,3716379000.0,,114455000.0,232530000.0,37338000.0,0.47,243549000.0,8888000.0,5513976000.0,6.542,0.47,,0.06264315758074977,0.0038859029233513074,,,3.0178923372895223,574440000.0,685323000.0,1.7800000000000002,1.7800000000000002,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2023-06-30,27708403000.0,25902039000.0,1806364000.0,5213698000.0,,3875758000.0,,375246000.0,479804000.0,128820000.0,1.56,240554000.0,-58146000.0,5213698000.0,9.6638,1.56,,0.20773553945937806,0.013542678731791219,,,2.8862942352704106,481833000.0,974898000.0,1.6200000000000003,1.6200000000000003,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2023-09-30,29273219000.0,27473995000.0,1799224000.0,5515532000.0,,3548225000.0,,399969000.0,747426000.0,140062000.0,1.69,236593000.0,-117496000.0,5515532000.0,9.1047,1.69,,0.22230083636056433,0.013663307748970142,,,3.065506018150047,341308000.0,1381694000.0,1.2800000000000005,1.2800000000000005,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
