ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
MAS,balanced,True,balanced,selected,,,0.10462495005148835,,,,0.3512884560654935,0.13906791617262007,1.0,0.41438389533392656,0.6444444444444444
MCD,balanced,False,aggressive,lower_selection_score,,,-0.02007069639741511,,,,0.24712474464134992,0.08,1.0,0.2099355537512712,0.5703703703703704
MCHP,balanced,False,aggressive,lower_selection_score,,,0.07304510897737479,,,,0.3317789590572297,0.1883763046326978,1.0,0.45965316495229963,0.5481481481481482
MCK,balanced,False,conservative,lower_selection_score,,,0.00533179148368251,,,,0.3691822286407203,0.13473217155464415,1.0,0.2736504124886965,0.5814814814814815
MCO,balanced,True,balanced,selected,,,0.4817662208177524,,,,0.4462812219051659,0.1264752868572776,1.0,0.6677201238037899,0.6111111111111112
MDLZ,balanced,True,balanced,selected,,,0.042259797590980724,,,,0.20486818257093808,0.09430299915635484,1.0,0.40675406189041735,0.4962962962962963
MET,balanced,False,conservative,lower_selection_score,,,-0.08076656720387058,,,,0.22105669574951892,0.1470981873470985,1.0,0.24008530051629762,0.5222222222222223
MGM,balanced,False,conservative,lower_selection_score,,,0.05637762033644264,,,,0.35977699090223886,0.2220561560711528,1.0,0.45061216949496435,0.5518518518518518
MHK,balanced,False,aggressive,lower_selection_score,,,0.3464004853381944,,,,0.3552742627274597,0.19619743322273459,1.0,0.788164320103486,0.5074074074074074
MKC,balanced,True,balanced,selected,,,0.23666194680240807,,,,0.27497899986907576,0.08604111443440965,1.0,0.6027222161301208,0.5888888888888889
MLM,balanced,False,conservative,lower_selection_score,,,0.004200503317147218,,,,0.34980320477661886,0.16146044094418585,1.0,0.32113601086275106,0.5037037037037037
MMM,balanced,True,balanced,selected,,,0.17155784684742748,,,,0.23355490858774933,0.11573769206607987,1.0,0.6578098554125376,0.48518518518518516
MNST,balanced,False,aggressive,lower_selection_score,,,0.3810909903658327,,,,0.43271496433508866,0.14656700880524667,1.0,0.6315167627348655,0.6222222222222222
MO,balanced,False,conservative,lower_selection_score,,,-0.03378316212954823,,,,0.2482424659520142,0.11286871193226744,1.0,0.2521965230772947,0.5259259259259259
MOS,balanced,False,aggressive,lower_selection_score,,,0.2029500067526836,,,,0.2824102302865898,0.2728485113592487,1.0,0.7817589417354566,0.45185185185185184
MRK,balanced,True,balanced,selected,,,0.07488813748335327,,,,0.22935662104915625,0.08,1.0,0.3996109993417547,0.5518518518518518
MS,balanced,False,conservative,lower_selection_score,,,-0.0043178676560718925,,,,0.34972200347538046,0.20602993821428287,1.0,0.36526816223733655,0.5259259259259259
MSCI,balanced,True,balanced,selected,,,0.5416801300921839,,,,0.5067292651553859,0.08,1.0,0.5979590347401157,0.6222222222222222
MSFT,balanced,True,balanced,selected,,,0.36327609044485243,,,,0.43585917605092117,0.08,1.0,0.5071888945067434,0.7
MSI,balanced,False,aggressive,lower_selection_score,,,0.12105027261543232,,,,0.3362900335670931,0.109453389980653,1.0,0.3991452840616248,0.5222222222222223
MTB,balanced,True,balanced,selected,,,0.14939031798054414,,,,0.2626749518554555,0.11926168637647115,1.0,0.564500825192855,0.4703703703703703
