Company Name,Ticker,Market Cap (mil),Sector,Industry
"Lument Finance Trust","LFT","69.12","Finance","Financial - Miscellaneous Services"
"Littelfuse","LFUS","9254.69","Computer and Technology","Electronics - Miscellaneous Components"
"Lifevantage","LFVN","57.95","Medical","Medical - Dental Supplies"
"Linkage Global Inc.","LGCB","17.68","Retail-Wholesale","Internet - Commerce"
"Lucas GC Limited","LGCL","4.72","Business Services","Technology Services"
"Legacy Education Inc.","LGCY","162.08","Consumer Discretionary","Schools"
"Legal & General Group","LGGNY","20580.02","Finance","Insurance - Multi line"
"LGI Homes","LGIH","1205.23","Construction","Building Products - Home Builders"
"The LGL Group","LGL","40.77","Computer and Technology","Electronics - Miscellaneous Components"
"Legence Corp.","LGN","5778.78","Construction","Engineering - R and D Services"
"Ligand Pharmaceuticals","LGND","3719.84","Medical","Medical - Biomedical and Genetics"
"Largo","LGO","129.25","Basic Materials","Mining - Miscellaneous"
"LogProstyle Inc.","LGPS","18.51","Conglomerates","Diversified Operations"
"Longeveron","LGVN","12.4","Medical","Medical - Biomedical and Genetics"
"Labcorp Holdings Inc.","LH","23803.08","Medical","Medical Services"
"Linkhome Holdings Inc.","LHAI","21.26","Finance","Real Estate - Operations"
"Lianhe Sowell International Group Ltd","LHSW","10.02","Industrial Products","Industrial Services"
"L3Harris Technologies","LHX","66169.23","Aerospace","Aerospace - Defense"
"Lichen International Limited","LICN","1.85","Finance","Financial - Miscellaneous Services"
"AEYE INC","LIDR","72.09","Computer and Technology","Internet - Software"
"CHICAGO ATL BDC","LIEN","228.66","Finance","Financial - SBIC & Commercial Industry"
"Life360, Inc.","LIF","3780.47","Industrial Products","Security and Safety Services"
"Ethos Technologies Inc.","LIFE","715.67","Finance","Insurance - Life Insurance"
"Lennox International","LII","19431.16","Construction","Building Products - Air Conditioner and Heating"
"Liberty Latin America","LILA","1619.62","Computer and Technology","Wireless National"
"Liberty Global","LILAK","1635.63","Computer and Technology","Wireless National"
"Liminatus Pharma Inc.","LIMN","7.22","Medical","Medical - Drugs"
"Linde PLC","LIN","235342.25","Basic Materials","Chemical - Specialty"
"Lincoln Educational Services","LINC","1121.06","Consumer Discretionary","Schools"
"Lindblad Expeditions","LIND","1138.48","Consumer Discretionary","Leisure and Recreation Services"
"Lineage, Inc.","LINE","8688.7","Finance","REIT and Equity Trust - Other"
"Interlink Electronics, Inc.","LINK","52.13","Computer and Technology","Electronics - Miscellaneous Services"
"Lionsgate Studios Corp.","LION","2385.34","Consumer Discretionary","Media Conglomerates"
"Lion Corp.","LIOPF","3216.7","Consumer Staples","Consumer Products - Staples"
"LiqTech International","LIQT","17.33","Industrial Products","Pollution Control"
"LightInTheBox Holding Co.","LITB","51.31","Computer and Technology","Internet - Delivery Services"
"Lumentum","LITE","49142.48","Computer and Technology","Communication - Components"
"Snow Lake Resources","LITM","54.62","Oils-Energy","Alternative Energy - Other"
"Lite Strategy, Inc.","LITS","40.36","Medical","Medical - Drugs"
"Live Ventures","LIVE","49.15","Conglomerates","Diversified Operations"
"LivaNova","LIVN","3770.51","Medical","Medical - Instruments"
"Lixte Biotechnology","LIXT","22.21","Medical","Medical - Biomedical and Genetics"
"Luk Fook Holdings","LKFLF","2459.98","Retail-Wholesale","Retail - Jewelry"
"Lakeland Financial","LKFN","1481.18","Finance","Banks - Midwest"
"Luckin Coffee","LKNCY","10779.05","Consumer Staples","Beverages - Soft drinks"
"LKQ","LKQ","8554.58","Auto-Tires-Trucks","Automotive - Replacement Parts"
"Lake Superior Acquisition Corp.","LKSP","118.6","Unclassified","Unclassified"
"Eli Lilly","LLY","983119.94","Medical","Large Cap Pharmaceuticals"
"Liberty Live Holdings, Inc.","LLYVA","8492.72","Conglomerates","Diversified Operations"
"Liberty Live Holdings, Inc.","LLYVK","8739.94","Conglomerates","Diversified Operations"
"LeMaitre Vascular","LMAT","2058.75","Medical","Medical - Products"
"Limbach","LMB","1061.99","Construction","Building Products - Miscellaneous"
"LM Funding America","LMFA","3.86","Finance","Financial - Miscellaneous Services"
"Lemonade","LMND","3902.45","Finance","Insurance - Multi line"
"Limoneira Co","LMNR","256.73","Consumer Staples","Agriculture - Operations"
"Lumexa Imaging Holdings, Inc.","LMRI","1360.8","Medical","Medical - Products"
"Lomiko Metals","LMRMF","7.01","Basic Materials","Mining - Miscellaneous"
"Lockheed Martin","LMT","152872.22","Aerospace","Aerospace - Defense"
"Lunai Bioworks Inc.","LNAI","10.52","Medical","Medical Info Systems"
"Lincoln National","LNC","6772.92","Finance","Insurance - Life Insurance"
"Cheniere Energy","LNG","47558.28","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"LINKBANCORP, Inc.","LNKB","329.69","Finance","Banks - Northeast"
"Linkers Industries Limited","LNKS","16.93","Computer and Technology","Electronics - Miscellaneous Products"
"Lindsay","LNN","1419.12","Industrial Products","Manufacturing - Farm Equipment"
"Li Ning Co.","LNNGY","7521.81","Retail-Wholesale","Retail - Apparel and Shoes"
"LENSAR","LNSR","142.74","Medical","Medical - Instruments"
"Alliant Energy","LNT","18419","Utilities","Utility - Electric Power"
"Lantheus","LNTH","4881.21","Medical","Medical - Products"
"Lenovo Group","LNVGY","15263.86","Computer and Technology","Computer - Micro Computers"
"Light & Wonder","LNWO","7907","Consumer Discretionary","Gaming"
"LanzaTech Global, Inc.","LNZA","20.7","Business Services","Waste Removal Services"
"Manhattan Bridge Capital","LOAN","50.67","Finance","Financial - Consumer Loans"
"Loar Holdings Inc.","LOAR","6105.12","Aerospace","Aerospace - Defense Equipment"
"Live Oak Bancshares","LOB","1771.94","Finance","Banks - Southeast"
"Lobo EV Technologies Ltd","LOBO","4.86","Auto-Tires-Trucks","Automotive - Foreign"
"Local Bounti","LOCL","34.52","Consumer Staples","Agriculture - Operations"
"El Pollo Loco","LOCO","320.22","Retail-Wholesale","Retail - Restaurants"
"COMSTOCK INC","LODE","160.46","Business Services","Waste Removal Services"
"ContextLogic Inc.","LOGC","214.2","Retail-Wholesale","Internet - Commerce"
"Logansport Financial","LOGN","19.64","Finance","Financial - Savings and Loan"
"Live Oak Acquisition Corp. V","LOKV","258.25","Unclassified","Unclassified"
"LeonaBio, Inc.","LONA","23.43","Medical","Medical - Biomedical and Genetics"
"Lonking","LONKF","1548.97","Industrial Products","Manufacturing - Construction and Mining"
"Loop Industries","LOOP","63.81","Basic Materials","Chemical - Specialty"
"Grand Canyon Education","LOPE","4256.91","Consumer Discretionary","Schools"
"Lotus Technology Inc. Sponsored ADR","LOT","766.42","Auto-Tires-Trucks","Automotive - Domestic"
"Lovesac","LOVE","186.37","Retail-Wholesale","Retail - Home Furnishings"
"Lowe's Companies","LOW","156275.47","Retail-Wholesale","Retail - Home Furnishings"
"Logistic Properties of the Americas","LPA","80.69","Finance","Real Estate - Operations"
"Launch One Acquisition Corp.","LPAA","308.49","Unclassified","Unclassified"
"Lipocine","LPCN","52.35","Medical","Medical - Drugs"
"Dorian LPG","LPG","1502.03","Transportation","Transportation - Shipping"
"LG Display Co.","LPL","5120","Computer and Technology","Computer - Peripheral Equipment"
"LPL Financial","LPLA","24720.75","Finance","Financial - Investment Bank"
"Open Lending","LPRO","165.46","Finance","Financial - Consumer Loans"
"LivePerson","LPSN","32.49","Computer and Technology","Internet - Services"
"LightPath Technologies","LPTH","691.93","Computer and Technology","Electronics - Miscellaneous Components"
"LouisianaPacific","LPX","5955.13","Construction","Building Products - Wood"
"iShares iBoxx $ Investment Grade Corporate Bond ETF","LQD","30801.34","Finance","Financial - Investment Funds"
"Liquidia Corporation","LQDA","2920.44","Medical","Medical - Biomedical and Genetics"
"Liquidity Services","LQDT","951.51","Business Services","Auction and Valuation Services"
"Liquidmetal Technologies","LQMT","110.17","Industrial Products","Metal Products - Procurement and Fabrication"
"Lam Research","LRCX","305012.31","Computer and Technology","Electronics - Semiconductors"
"Lead Real Estate Co., Ltd. Unsponsored ADR","LRE","17.46","Finance","Real Estate - Development"
"L'Oreal","LRLCY","254294.25","Consumer Staples","Consumer Products - Staples"
"Larimar Therapeutics","LRMR","305.45","Medical","Medical - Drugs"
"Stride","LRN","3527.35","Consumer Discretionary","Schools"
"Lesaka Technologies, Inc.","LSAK","377.64","Business Services","Technology Services"
"LakeShore Biopharma Co., Ltd.","LSBCF","1.66","Medical","Medical - Biomedical and Genetics"
"Lake Shore Bancorp","LSBK","121.64","Finance","Financial - Savings and Loan"
"Lattice Semiconductor","LSCC","13454.29","Computer and Technology","Electronics - Semiconductors"
"Leishen Energy Holding Co., Ltd.","LSE","77.36","Oils-Energy","Oil and Gas - Mechanical and and Equipment"
"London Stock Exchange Group plc - Unsponsored ADR","LSEGY","53427.41","Finance","Securities and Exchanges"
"Laird Superfood","LSF","31.42","Consumer Staples","Food - Miscellaneous"
"Land Securities Group","LSGOF","6660.3","Finance","Real Estate - Development"
"Lakeside Holding Limited","LSH","10.09","Transportation","Transportation - Services"
"LSL PROPERTY","LSLPF","353.62","Finance","Real Estate - Operations"
"Lightspeed POS","LSPD","1235.71","Computer and Technology","Internet - Software"
"Lisata Therapeutics, Inc.","LSTA","38.81","Medical","Medical - Biomedical and Genetics"
"Landstar System","LSTR","5030.47","Transportation","Transportation - Truck"
"Lightbridge","LTBR","424.57","Oils-Energy","Alternative Energy - Other"
"LTC Properties","LTC","1859.33","Finance","REIT and Equity Trust - Other"
"Latch","LTCH","34.49","Auto-Tires-Trucks","Automotive - Original Equipment"
"Littlefield","LTFD","3.63","Consumer Discretionary","Gaming"
"Life Time Group Holdings","LTH","6141.27","Consumer Discretionary","Leisure and Recreation Services"
"LATAM Airlines Group","LTM","17531.83","Transportation","Transportation - Airline"
"PIMCO 15+ Year U.S. TIPS Index ETF","LTPZ","687.38","Finance","Financial - Investment Funds"
"Learning Tree International","LTRE","5.4","Consumer Discretionary","Schools"
"Lantern Pharma","LTRN","28.74","Medical","Medical - Biomedical and Genetics"
"Lantronix","LTRX","237.76","Computer and Technology","Computer - Networking"
"Lotus Pharmaceuticals","LTUS","14.28","Medical","Medical - Drugs"
"Lufax","LU","2374.73","Finance","Financial - Miscellaneous Services"
"Lucid Diagnostics","LUCD","201.02","Medical","Medical - Instruments"
"Lucky Strike Entertainment","LUCK","1159.47","Consumer Discretionary","Leisure and Recreation Services"
"Innovative Eyewear, Inc.","LUCY","5.99","Medical","Medical - Products"
"Luda Technology Group Limited","LUD","143.17","Basic Materials","Steel - Speciality"
"lululemon athletica","LULU","21055.25","Consumer Discretionary","Textile - Apparel"
"Lumen Technologies","LUMN","7631.55","Utilities","Diversified Communication Services"
"Pulmonx","LUNG","62.28","Medical","Medical Info Systems"
"Lundin Mining","LUNMF","27749.87","Basic Materials","Mining - Non Ferrous"
"Intuitive Machines, Inc.","LUNR","3406.14","Aerospace","Aerospace - Defense"
"Southwest Airlines","LUV","24880.34","Transportation","Transportation - Airline"
"Luvu Brands","LUVU","2.5","Consumer Discretionary","Consumer Products - Discretionary"
"LuxExperience B.V. - Sponsored ADR","LUXE","845.84","Consumer Discretionary","Textile - Apparel"
"Lulu's Fashion Lounge","LVLU","43.63","Retail-Wholesale","Retail - Apparel and Shoes"
"LVMH Moet Hennessy Louis Vuitton","LVMUY","331235.53","Consumer Discretionary","Textile - Apparel"
"LiveOne","LVO","63.24","Consumer Discretionary","Audio Video Production"
"Las Vegas Sands","LVS","36988.68","Consumer Discretionary","Gaming"
"LiveWire Group, Inc.","LVWR","334.54","Auto-Tires-Trucks","Automotive - Domestic"
"Lamb Weston","LW","6660.68","Consumer Staples","Food - Miscellaneous"
"LightWave Acquisition Corp.","LWAC","303.76","Unclassified","Unclassified"
"Lifeway Foods","LWAY","331.83","Consumer Staples","Food - Dairy Products"
"Lightwave Logic","LWLG","536.39","Basic Materials","Chemical - Plastic"
"LexinFintech","LX","506.47","Finance","Financial - Consumer Loans"
"Lexeo Therapeutics, Inc.","LXEO","488.29","Medical","Medical - Drugs"
"Luxfer","LXFR","415.79","Industrial Products","Manufacturing - General Industrial "
"LXP Industrial Trust","LXP","2863.46","Finance","REIT and Equity Trust - Residential"
"Lexicon Pharmaceuticals","LXRX","537.93","Medical","Medical - Biomedical and Genetics"
"Lsb Industries","LXU","723.76","Basic Materials","Chemical - Diversified "
"LyondellBasell Industries","LYB","18788.95","Basic Materials","Chemical - Diversified "
"Lyons Bancorp","LYBC","170.51","Finance","Banks - Northeast"
"Lyell Immunopharma","LYEL","490.1","Medical","Medical - Drugs"
"Lyft","LYFT","5386.4","Computer and Technology","Internet - Services"
"Lloyds Banking Group","LYG","83391.46","Finance","Banks - Foreign"
"Lyra Therapeutics","LYRA","2.58","Medical","Medical - Drugs"
"Lynas Rare Earths Limited - Sponsored ADR","LYSDY","11615.04","Basic Materials","Mining - Miscellaneous"
"LSI Industries","LYTS","683.68","Construction","Building Products - Lighting"
"Live Nation Entertainment","LYV","37094.01","Consumer Discretionary","Film and Television Production and Distribution"
"LegalZoom.com","LZ","1104.97","Industrial Products","Industrial Services"
"Lonza Group","LZAGY","47580.16","Medical","Medical - Products"
"LaZBoy","LZB","1443.79","Consumer Discretionary","Furniture"
"LZ Technology Holdings Limited","LZMH","166.38","Computer and Technology","Computers - IT Services"
"Macy's","M","5538.35","Retail-Wholesale","Retail - Regional Department Stores"
"Mastercard","MA","444122.5","Business Services","Financial Transaction Services"
"MidAmerica Apartment Communities","MAA","15675.26","Finance","REIT and Equity Trust - Residential"
"The Marketing Alliance","MAAL","10.03","Finance","Insurance - Brokerage"
"Maase Inc. - Sponsored ADR","MAAS","96.3","Finance","Financial - Miscellaneous Services"
"The Macerich Company","MAC","5177.05","Finance","REIT and Equity Trust - Retail"
"Melar Acquisition Corp. I","MACI","217.1","Unclassified","Unclassified"
"Magnitude International Ltd","MAGH","236.6","Construction","Engineering - R and D Services"
"Magnera Corporation","MAGN","467.78","Construction","Engineering - R and D Services"
"MAIA Biotechnology, Inc.","MAIA","89.62","Medical","Medical - Biomedical and Genetics"
"Main Street Capital","MAIN","5169.2","Finance","Financial - SBIC & Commercial Industry"
"Marks and Spencer Group","MAKSY","11448.38","Retail-Wholesale","Retail - Supermarkets"
"Mama's Creations, Inc.","MAMA","706.55","Consumer Staples","Food - Miscellaneous"
"MaxsMaking Inc.","MAMK","216.13","Consumer Discretionary","Consumer Products - Discretionary"
"Massimo Group","MAMO","41.64","Consumer Discretionary","Leisure and Recreation Products"
"ManpowerGroup","MAN","1195.31","Business Services","Staffing Firms"
"Veradermics Incorporated","MANE","1536.03","Medical","Medical - Biomedical and Genetics"
"Manhattan Associates","MANH","7980.67","Computer and Technology","Computer - Software"
"Manchester United","MANU","3057.16","Consumer Discretionary","Leisure and Recreation Services"
"WM Technology","MAPS","101.81","Business Services","Technology Services"
"Maquia Capital Acquisition","MAQC","11.17","Business Services","Technology Services"
"Marriott International","MAR","90929.45","Consumer Discretionary","Hotels and Motels"
"Marathon Digital","MARA","3044.38","Finance","Financial - Miscellaneous Services"
"Marine Petroleum Trust","MARPS","8.96","Oils-Energy","Oil and Gas - Royalty Trust - United States"
"Marubeni","MARUY","62100.25","Conglomerates","Diversified Operations"
"Masco","MAS","15042.49","Construction","Building Products - Miscellaneous"
"Masimo","MASI","9418.74","Medical","Medical - Instruments"
"3 E Network Technology Group Ltd","MASK","3.34","Computer and Technology","Computers - IT Services"
"908 Devices","MASS","245.75","Medical","Medical - Instruments"
"Mattel","MAT","5288.5","Consumer Discretionary","Toys - Games - Hobbies"
"Metalpha Technology Holding Limited","MATH","49.77","Computer and Technology","Internet - Services"
"Mativ Holdings, Inc.","MATV","592.2","Basic Materials","Chemical - Specialty"
"Matthews International","MATW","832.62","Consumer Staples","Funeral Services"
"Matson","MATX","5206.75","Transportation","Transportation - Services"
"Marui Group Co.","MAURY","3812.4","Retail-Wholesale","Retail - Regional Department Stores"
"Man Wah Holdings","MAWHY","2383.08","Consumer Discretionary","Furniture"
"MediaAlpha","MAX","584.59","Business Services","Technology Services"
"Maxeon Solar Technologies","MAXN","42.78","Oils-Energy","Solar"
"J. W. Mays","MAYS","93.98","Finance","Real Estate - Operations"
"Maze Therapeutics, Inc.","MAZE","2179.81","Medical","Medical - Biomedical and Genetics"
"MasterBeef Group","MB","95.54","Retail-Wholesale","Retail - Restaurants"
"CheckCap","MBAI","11.37","Medical","Medical - Instruments"
"M3-Brigade Acquisition V Corp.","MBAV","384.17","Unclassified","Unclassified"
"iShares MBS ETF","MBB","39662.74","Finance","Financial - Investment Funds"
"Marathon Bancorp, Inc.","MBBC","39.05","Finance","Banks - Northeast"
"MasterBrand, Inc.","MBC","1381.23","Consumer Discretionary","Furniture"
"Middlefield Banc","MBCN","275.87","Finance","Banks - Northeast"
"Mercedes-Benz Group AG","MBGYY","66517.39","Auto-Tires-Trucks","Automotive - Foreign"
"MBIA","MBI","306.5","Finance","Insurance - Multi line"
"Merchants Bancorp","MBIN","1953.51","Finance","Banks - Northeast"
"Mustang Bio","MBIO","7.37","Medical","Medical - Biomedical and Genetics"
"Mobileye Global Inc.","MBLY","7420.98","Auto-Tires-Trucks","Automotive - Original Equipment"
"Microbot Medical","MBOT","170.58","Medical","Medical - Instruments"
"Mitchells & Butlers","MBPFF","2039.38","Retail-Wholesale","Retail - Restaurants"
"Moleculin Biotech","MBRX","4.99","Medical","Medical - Biomedical and Genetics"
"Malibu Boats","MBUU","571.66","Consumer Discretionary","Leisure and Recreation Products"
"M3-Brigade Acquisition VI Corp.","MBVI","434.27","Unclassified","Unclassified"
"Mercantile Bank","MBWM","899.95","Finance","Banks - Midwest"
"MBX Biosciences, Inc.","MBX","1649.26","Medical","Medical - Biomedical and Genetics"
"Moelis & Company","MC","4888","Finance","Financial - Investment Bank"
"Mountain Crest Acquisition Corp. V","MCAG","35.31","Unclassified","Unclassified"
"Metropolitan Bank Holding","MCB","918.34","Finance","Banks - Northeast"
"Madison County Financial","MCBK","78.31","Finance","Banks - Southeast"
"MetroCity Bankshares","MCBS","723.14","Finance","Banks - Southeast"
"McDonald's","MCD","237183","Retail-Wholesale","Retail - Restaurants"
"The Monarch Cement Co.","MCEM","958.78","Construction","Building Products - Concrete and Aggregates"
"MasterCraft Boat","MCFT","369.99","Consumer Discretionary","Leisure and Recreation Products"
"Yorkville Acquisition Corp.","MCGA","208.33","Unclassified","Unclassified"
"Mechanics Bancorp","MCHB","3245.2","Finance","Banks - Southeast"
"Microchip Technology","MCHP","41088.42","Computer and Technology","Semiconductor - Analog and Mixed"
"Marchex","MCHX","65.39","Computer and Technology","Internet - Services"
"Barings Corporate Investors","MCI","423.63","Finance","Financial - Investment Management"
"McKesson","MCK","117264.59","Medical","Medical - Dental Supplies"
"Moody's","MCO","80240.66","Finance","Financial - Miscellaneous Services"
"MCRAE INDUSTRIE","MCRAA","85.89","Consumer Discretionary","Shoes and Retail Apparel "
"Seres Therapeutics","MCRB","78.25","Medical","Medical - Biomedical and Genetics"
"Monarch Casino & Resort","MCRI","1746.37","Consumer Discretionary","Gaming"
"Micropolis AI Robotics","MCRP","145.14","Industrial Products","Industrial Automation and Robotics"
"The Marcus","MCS","482.21","Consumer Discretionary","Leisure and Recreation Services"
"Charming Medical Limited","MCTA","497.21","Medical","Medical Services"
"Medicure","MCUJF","8.57","Medical","Medical - Drugs"
"Mister Car Wash","MCW","2289.7","Auto-Tires-Trucks","Automotive - Replacement Parts"
"Mercury General","MCY","4750.68","Finance","Insurance - Property and Casualty"
"Pediatrix Medical Group, Inc.","MD","1665","Medical","Medical Services"
"Spectral AI, Inc.","MDAI","43.58","Medical","Medical - Instruments"
"MongoDB","MDB","25435.74","Computer and Technology","Internet - Software"
"MDB Capital Holdings, LLC","MDBH","31.33","Finance","Financial - Miscellaneous Services"
"Medicus Pharma Ltd","MDCX","29.89","Medical","Medical - Biomedical and Genetics"
"Melco International Development","MDEVF","865.88","Consumer Discretionary","Gaming"
"Madrigal Pharmaceuticals","MDGL","10093.59","Medical","Medical - Drugs"
"Mediaco Holding","MDIA","51.37","Computer and Technology","Semiconductors - Radio Frequency"
"Medline Inc.","MDLN","65672.73","Medical","Medical - Products"
"Mondelez International","MDLZ","78359.22","Consumer Staples","Food - Miscellaneous"
"Medicenna Therapeutics","MDNAF","56.89","Medical","Medical - Biomedical and Genetics"
"Medalist Diversified REIT","MDRR","13.02","Finance","REIT and Equity Trust - Other"
"VERADIGM INC","MDRX","468.27","Medical","Medical Info Systems"
"Medtronic","MDT","124034.87","Medical","Medical - Products"
"MDU Resources Group","MDU","4148.97","Utilities","Utility - Gas Distribution"
"Modiv Industrial, Inc.","MDV","157.62","Finance","REIT and Equity Trust - Residential"
"MediWound","MDWD","225.16","Medical","Medical - Drugs"
"MDWerks","MDWK","58.86","Retail-Wholesale","Internet - Commerce"
"MiMedx Group","MDXG","792.35","Medical","Medical - Biomedical and Genetics"
"MDxHealth SA","MDXH","175.72","Medical","Medical Info Systems"
"MedX Health Corp.","MDXHF","6.89","Medical","Medical Services"
"Mayville Engineering","MEC","440.5","Construction","Engineering - R and D Services"
"MEDIFAST","MED","115.19","Consumer Staples","Food - Miscellaneous"
"Medpace","MEDP","12550.2","Medical","Medical Services"
"Montrose Environmental Group","MEG","799.34","Business Services","Waste Removal Services"
"Magic Empire Global Limited","MEGL","4.06","Finance","Financial - Miscellaneous Services"
"Functional Brands Inc.","MEHA","3.64","Medical","Medical - Products"
"Methode Electronics","MEI","309.47","Computer and Technology","Electronics - Connectors"
"MercadoLibre","MELI","97468.38","Retail-Wholesale","Internet - Commerce"
"Jyong Biotech Ltd.","MENS","209.84","Medical","Medical - Biomedical and Genetics"
"Methanex","MEOH","3762.57","Basic Materials","Chemical - Diversified "
"Mercer International","MERC","126.6","Basic Materials","Paper and Related Products"
"Meshflow Acquisition Corp.","MESH","426.51","Unclassified","Unclassified"
"Mesoblast Limited","MESO","2131.58","Medical","Medical - Biomedical and Genetics"
"MetLife","MET","49125.74","Finance","Insurance - Multi line"
"Meta Platforms","META","1617144.75","Computer and Technology","Internet - Software"
"Ramaco Resources","METC","1194.65","Oils-Energy","Coal"
"Ramaco Resources, Inc.","METCB","848.79","Oils-Energy","Coal"
"MFA Financial","MFA","1012.77","Finance","REIT and Equity Trust"
"M&F Bancorp","MFBP","43.24","Finance","Banks - Southeast"
"Manulife Financial Corp","MFC","60010.94","Finance","Insurance - Life Insurance"
"Microwave Filter Co.","MFCO","1.8","Computer and Technology","Electronics - Miscellaneous Components"
"Mizuho Financial Group","MFG","110977.98","Finance","Banks - Foreign"
"mF International Limited","MFI","5.92","Computer and Technology","Internet - Software"
"MidCap Financial Investment Corporation","MFIC","1003.01","Finance","Financial - Miscellaneous Services"
"Medallion Financial","MFIN","234.89","Finance","Financial - SBIC & Commercial Industry"
"MFS MUNI INC TR","MFM","272.09","Finance","Financial - Investment Funds"
"Mobivity","MFON","6.59","Computer and Technology","Wireless National"
"Mistras Group","MG","477.95","Computer and Technology","Electronics - Miscellaneous Products"
"Magna International","MGA","18120.92","Auto-Tires-Trucks","Automotive - Original Equipment"
"Mobile Global Esports Inc.","MGAM","5.82","Business Services","Technology Services"
"Midea Group Co Ltd. - Unsponsored ADR","MGCLY","7719.06","Construction","Building Products - Air Conditioner and Heating"
"Michelin","MGDDY","27778.94","Auto-Tires-Trucks","Rubber - Tires"
"MGE Energy","MGEE","3016.9","Utilities","Utility - Electric Power"
"MFS GOVT MKTS","MGF","96.47","Finance","Financial - Investment Funds"
"Minco Capital","MGHCF","3.44","Basic Materials","Mining - Gold"
"MGM Resorts International","MGM","8966.79","Consumer Discretionary","Gaming"
"Megan Holdings Limited","MGN","29.25","Consumer Staples","Agriculture - Operations"
"Magnite","MGNI","1680.68","Computer and Technology","Internet - Software"
"MacroGenics","MGNX","109.44","Medical","Medical - Products"
"MGP Ingredients","MGPI","549.61","Consumer Staples","Beverages - Alcohol"
"McGrath RentCorp","MGRC","2817.54","Finance","Financial - Leasing Companies"
"Mega Fortune Company Limited","MGRT","87.31","Computer and Technology","Internet - Software"
"Mangoceuticals, Inc.","MGRX","8.53","Medical","Medical - Drugs"
"Marblegate Capital Corporation","MGTE","27.68","Finance","Financial - Miscellaneous Services"
"MGT Capital Investments","MGTI","10.03","Finance","Financial - Miscellaneous Services"
"MeiraGTx","MGTX","619.78","Medical","Medical - Biomedical and Genetics"
"Metagenomi Therapeutics, Inc.","MGX","56.32","Medical","Medical - Generic Drugs"
"Magnolia Oil & Gas Corp","MGY","5068.38","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Magyar Bancorp","MGYR","119.52","Finance","Banks - Northeast"
"McGraw Hill, Inc.","MH","2528.86","Consumer Discretionary","Schools"
"Western Asset Municipal High Income Fund Inc.","MHF","150.09","Finance","Financial - Investment Funds"
"Meritage Hospitality Group","MHGU","22.09","Retail-Wholesale","Retail - Restaurants"
"Marine Harvest ASA","MHGVY","12702.43","Consumer Staples","Food - Miscellaneous"
"Mastech Digital","MHH","68.55","Computer and Technology","Computers - IT Services"
"Mohawk Industries","MHK","7780.22","Consumer Discretionary","Textile - Home Furnishing"
"MI Homes","MHO","3655.41","Construction","Building Products - Home Builders"
"Meihua International Medical Technologies","MHUAF","3.01","Medical","Medical - Products"
"Mitsubishi Heavy Industries","MHVYF","104852.98","Industrial Products","Manufacturing - General Industrial "
"NFT Limited","MI","24.82","Retail-Wholesale","Internet - Commerce"
"Miami International Holdings, Inc.","MIAX","3221.57","Business Services","Technology Services"
"The Magnum Ice Cream Company N.V.","MICC","10053.3","Consumer Staples","Food - Miscellaneous"
"The Middleby","MIDD","8110.27","Industrial Products","Manufacturing - General Industrial "
"Mitsubishi Electric","MIELY","81812.58","Computer and Technology","Electronics - Miscellaneous Products"
"Mawson Infrastructure Group","MIGI","3.65","Computer and Technology","Computers - IT Services"
"Mint Incorporation Limited","MIMI","7.59","Retail-Wholesale","Retail - Home Furnishings"
"MFS Intermediate Income Trust","MIN","292.46","Finance","Financial - Investment Funds"
"MIND Technology","MIND","68.96","Business Services","Technology Services"
"Mayfair Gold Corp.","MINE","263.47","Basic Materials","Mining - Gold"
"Mirion Technologies","MIR","5342.52","Business Services","Technology Services"
"MIRA Pharmaceuticals, Inc.","MIRA","52.35","Medical","Medical - Biomedical and Genetics"
"Mirum Pharmaceuticals","MIRM","5523.78","Medical","Medical - Biomedical and Genetics"
"Milestone Pharmaceuticals","MIST","148.2","Medical","Medical - Biomedical and Genetics"
"Mitsubishi Estate Co.","MITEY","40046.99","Finance","Real Estate - Development"
"Mitie Group","MITFY","3171.28","Business Services","Business - Services"
"Mitesco","MITI","1.43","Medical","Medical Info Systems"
"Mitek Systems","MITK","583.67","Computer and Technology","Computer - Optical Imaging"
"Moving iMage Technologies","MITQ","5.88","Business Services","Technology Services"
"Mitsui & Co.","MITSY","103662.72","Conglomerates","Diversified Operations"
"TPG Mortgage Investment Trust Inc.","MITT","254.27","Finance","REIT and Equity Trust"
"BlackRock MuniYield Michigan Quality Fund, Inc.","MIY","355.4","Finance","Financial - Investment Funds"
"McCormick & Company","MKC","18790.68","Consumer Staples","Food - Miscellaneous"
"McCormick & Company, Incorporated","MKC.V","18559.82","Consumer Staples","Food - Miscellaneous"
"MKDWELL Tech Inc.","MKDW","8.34","Computer and Technology","Electronics - Miscellaneous Products"
"Merck KGaA","MKKGY","19192.47","Medical","Medical - Drugs"
"MARKEL GROUP","MKL","26065.01","Finance","Insurance - Multi line"
"MKS Inc.","MKSI","16887.08","Computer and Technology","Electronics - Miscellaneous Products"
"Makita","MKTAY","10368.83","Consumer Discretionary","Tools - Handheld"
"MarketWise","MKTW","222.17","Business Services","Technology Services"
"MarketAxess","MKTX","6758.9","Finance","Financial - Investment Bank"
"Mackenzie Realty Capital, Inc.","MKZR","7.12","Finance","REIT and Equity Trust - Other"
